"filename","title","description","feature","topic","role","level"
"./metadata.md","","","","","",""
"./help/tutorial-getting-started-with-push-notifications-for-android/TOC.md","","","","","",""
"./help/tutorial-getting-started-with-push-notifications-for-android/introduction.md","Getting started with Push notifications for Android - Introduction","This tutorial will walk you through the steps involved in sending push notifications from Adobe Campaign and receiving these notifications in your Android app.","push","","",""
"./help/tutorial-getting-started-with-push-notifications-for-android/extending-the-app-subscription-schema.md","Extending the app subscription schema to personalize push notifications","Learn how to extend the app subscription schema to be able to store personalization values Campaign receives from a mobile app.","push, data management","","",""
"./help/tutorial-getting-started-with-push-notifications-for-android/configuring-an-android-service-in-campaign.md","Configuring an Android service and creating an Android mobile application in Campaign","Learn how to configure an Android Services and create a Android mobile application in Campaign. That is required for us to define the Neotrip app as the target for the push notification.","push","","",""
"./help/tutorial-getting-started-with-push-notifications-for-android/configuring-and-sending-push-notifications.md"," Configuring and sending push notifications ","Learn how to configure and send a push notification to android app users.","push","","",""
